x,y
1215,515
1238,611
1401,696
1213,588
1423,728
945,635
1120,579
1096,528
1364,736
1159,639
1414,600
1221,679
1035,541
1358,609
1453,672
1483,611
825,657
1271,522
1212,628
1206,547
973,641
997,569
1365,676
1245,519
765,675
1301,623
1489,754
914,647
1271,587
1401,760
1242,790
1510,674
899,581
1063,578
1028,644
1601,719
1102,709
1214,731
938,567
1305,757
1551,706
1180,565
1126,628
1152,711
1273,695
