x,y
1216,535
640,870
982,657
1401,415
987,529
916,705
945,684
1249,505
1461,413
1182,552
1341,462
1038,632
1089,625
1276,487
1021,370
1267,519
1159,556
1009,660
1120,578
938,723
766,765
1428,414
970,682
1603,235
1484,413
526,928
916,669
885,714
1070,606
1248,529
588,905
762,806
794,799
1492,317
818,797
613,901
1365,455
1006,640
861,758
1306,489
1036,667
716,710
921,768
738,817
557,918
655,854
506,953
975,521
833,619
